appendicularia 	thermocline 	halocline 	pycnocline 	chloroMax 	mixedDepth 	temperature 	salinity 	density 	fluorimetry 	windSpeed 	distance 	currentSpeed
1368 	70 	45 	72 	94 	61 	28,6771111241218 	35,9232857533177 	22,8701089773614 	0,0576264090554255 	326,338422391858 	23425,4940893305 	13,5373659390131
1171 	67 	49 	62 	91 	59 	28,6701444915254 	35,8970383171913 	22,8527161622276 	0,0599144188861985 	307,4609375 	28970,3639137174 	17,9302474960339
1960 	93 	66 	94 	105 	66 	28,6556624098124 	35,8359049152237 	22,8117942821068 	0,0602463275613276 	303,034063260341 	23484,6696466121 	11,8685277695688
6425 	88 	60 	89 	95 	61 	28,7289334113973 	35,9374734972678 	22,8635130366901 	0,060664168618267 	307,843555555556 	4964,54795978779 	19,1692817031306
10301 	65 	65 	65 	96 	62 	28,6935295506912 	35,8493810675883 	22,8091974270353 	0,0579602726574501 	224,589552238806 	11978,2989183013 	11,2876082406718
838 	87 	75 	85 	100 	65 	28,6484583516484 	35,8215769230769 	22,8034287057387 	0,0590213455433455 	447,825739408473 	20838,5522373794 	2,97928532168044
4084 	68 	43 	68 	105 	66 	28,6575800505051 	35,8376755050505 	22,8124647727273 	0,0579598484848485 	248,813034188034 	20841,9320969724 	10,2332801275275
11281 	59 	58 	59 	101 	57 	28,6604561403509 	35,831196449457 	22,8063131578947 	0,0565999958228906 	189,32955404384 	11980,1265809347 	13,9263925582219
5478 	82 	50 	82 	96 	49 	28,7088821185617 	35,9226828474247 	22,8586189018465 	0,0615442857142857 	297,062656641604 	4964,96185702764 	26,0402988484035
5328 	76 	27 	76 	91 	75 	28,2155568095238 	35,976643983269 	23,0648473777349 	0,0619772063492064 	258,702637889688 	4964,96185702764 	28,8603901994512
3044 	54 	24 	54 	94 	47 	28,6827244680851 	35,8464182370821 	22,8099217831814 	0,0610609827760892 	487,368421052632 	23543,5152576715 	17,1749746092304
1892 	69 	58 	70 	106 	60 	28,6084087169312 	35,7944368518518 	22,796133531746 	0,0580960978835979 	511,206682206682 	29010,1491420918 	7,88316827624584
3745 	78 	66 	77 	101 	64 	28,6752553571429 	35,8136296502976 	22,7884554315476 	0,0595679092261905 	413,079835390947 	23462,525272726 	12,0529863450052
3478 	87 	54 	87 	96 	78 	28,7076912596663 	35,8864718253968 	22,8330149470899 	0,0601153266178266 	430,012722646311 	20773,0852548489 	13,6311891858078
3135 	80 	59 	80 	90 	59 	28,7028479015335 	35,8717001008878 	22,822794693301 	0,061411598062954 	403,760942760943 	20773,0852548489 	6,1521748915381
3601 	74 	76 	74 	105 	66 	28,6624153860029 	35,8641802128427 	22,8307878607504 	0,0599643686868687 	305,788655788656 	23483,3827770615 	5,94174751254298
